Официальное название,Размерная группа,Породные особенности,Основные факты,Описание
Стаффордширский бультерьер,Средние,Живые / Подвижный / Умные / Привязчивые / Уверенные / Преданные,"Требует большой физической активности
Наличие сада не обязательно
Отличная собака для семьи","Порода получила свое название благодаря Черной Стране (промышленный регион Англии), которая включает в себя город Бирмингем и графство Стаффордшир. Благодаря сильному, мускулистому телу и умному взгляду эти собаки быстро завоевали популярность среди заводчиков свирепых бойцовых собак.
Однако любой, кто не понаслышке знает стаффордширских бультерьеров, скажет вам, что это чувствительные и игривые животные, преданные своим семьям."
Суссекс спаниель,Средние,Живые / Трудолюбивые / Привязчивые,"Отличная собака для семьи
Не нуждается в интенсивной дрессировке
Требуется постоянный уход за шерстью","Суссекс спаниели наделены превосходными рабочими качествами и способны выслеживать добычу даже в плотной траве. Эта порода хорошо ладит как с людьми, так и с другими собаками, а спокойный и дружелюбный нрав делает их отличными семейными собаками для активных владельцев."
Тайваньская собака,Средние,Живые / Преданные / Настороженные / Уверенные / Привязчивые / Умные,"Отличная сторожевая собака
Отличный компаньон
Требует минимального ухода за шерстью","Тайваньские собаки характеризуются исключительной преданностью владельцу. Это смелая и бесстрашная порода, обладающая живым характером и обостренными чувствами. Собака средних размеров с треугольной головой, миндалевидными глазами, тонкими стоячими ушами и серповидным хвостом. Тело сухое, жилистое и пропорционально сложенное.
Тайваньские собаки действительно появились на Тайване, будучи потомками южноазиатских охотничьих собак, которые с древности жили с местными жителями в центральных горных районах. Эта порода была преданным спутником древнего охотника в диком лесу."
Тайский риджбек,Средние,Умеет за себя постоять / Настороженные / Умные / Уравновешенные / Жизнерадостный / Живые,"Отличная собака для семьи
Требует большой физической активности
Требует минимального ухода за шерстью","Эти крепкие, активные собаки, широко известные благодаря своей прыгучести, — очень преданные компаньоны. Собаки этой породы средних размеров, с хорошо развитыми мышцами. На спине расположен гребень (ридж), образованный шерстью.
Тайский риджбек — довольно древняя порода, которая упоминается в документах, написанных около 360 лет назад и найденных при археологических раскопках в Таиланде. Эти собаки использовались в восточной части Таиланда в основном для охоты. Также их использовали для сопровождения повозок и в качестве сторожевых собак."
Тибетский терьер,Средние,Живые / Привязчивые / Преданные / Дружелюбные / Уверенные / Настороженные / Умные / Игривые,"Требуется постоянный уход за шерстью
Не нуждается в интенсивной дрессировке
Отличная собака для семьи","Тибетские терьеры — это крепкие собаки средних размеров. У них решительный вид, присущий рабочим собакам, поскольку на родине их столетиями использовали не как терьеров, а как пастушьих собак.
Инстинктивное умение пасти и перегонять скот заставляет тибетских терьеров все время поворачиваться к группе, даже на прогулках с семьей. Эта порода отличается прекрасным здоровьем
"
Тирольская гончая,Средние,Уравновешенные / Трудолюбивые / Независимые,"Требует минимального ухода за шерстью
Отличная сторожевая собака
Требуется доступ к площадке на улице","Эти уравновешенные собаки с очень тонким нюхом и прекрасным чувством направления — полные энтузиазма охотники, которые предпочитают самостоятельно идти по следу.
Тирольские гончие — собаки средних размеров, довольно крепкие, трудолюбивые и уравновешенные, что делает их отличными охотниками. Благодаря бдительному характеру они также считаются прекрасными сторожевыми собаками."
Филд-спаниель,Средние,Уравновешенные / Живые / Спокойные / Сдержанные / Независимые,"Требуется постоянный уход за шерстью
Отличная собака для семьи","Эти прирожденные охотничьи поисковые собаки с превосходным обонянием работают с полной самоотдачей даже на труднопроходимой местности, максимально проявляя свой интеллект и универсальность.
Филд-спаниели предпочитают большие открытые пространства, поэтому городская жизнь им не подходит, но в загородной местности эти собаки становятся замечательными компаньонами. Кроме того, это идеальные охотничьи собаки с отличными навыками вспугивания и апортирования дичи."
Финская гончая,Средние,Спокойные / Дружелюбные / Независимые,"Любит охотиться
Дрессировку следует начинать в раннем возрасте
Требует большой физической активности","Финская гончая — собака средних размеров с трехцветной шерстью, отличающаяся спокойным, энергичным и дружелюбным характером. Собаки этой породы никогда не проявляют агрессии. Финские гончие обладают изрядной силой, хотя тяжеловесными их не назовешь.
Финская гончая получила признание после учреждения национального клуба собаководства в 1889 году. Первый стандарт породы был опубликован в 1932 году, и клубы по всей стране начали работать над ее разведением. Межпородное скрещивание, проведенное в начале прошлого века, помогло создать породу в том виде, в котором она известна в настоящее время."
Финская лайка,Средние,Полные энтузиазма / Независимые / Живые / Уверенные / Решительные / Сдержанные,"Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке
Отличная собака для семьи","Финские лайки в основном используются для охоты на лесных и водоплавающих птиц, а также на лосей и мелких животных-вредителей. Эти азартные охотники довольно независимы, хотя прекрасно работают в команде, указывая лаем на местоположение добычи.
Эти живые, энергичные, смелые и решительные собаки обычно не доверяют незнакомым людям, но никогда не проявляют открытую агрессию. Рядом с владельцем и его семьей они всегда веселы, ласковы и готовы поиграть."
Финский лаппхунд,Средние,Умные / Спокойные / Дружелюбные / Преданные,"Требуется доступ к площадке на улице
Отличная собака для семьи
Не нуждается в интенсивной дрессировке","Финские лаппхунды немного меньше средних размеров, но крепкого сложения. Длина спины этой собаки чуть больше высоты в холке. У лаппхунда длинная, густая шерсть и стоячие уши. Как следует из названия породы, родина финского лаппхунда — Лапландия, где эти собаки традиционно собирали в стадо северных оленей.
Теперь же дружелюбный характер лаппхунда и его огромное желание угодить владельцу сделали эту собаку отличным компаньоном. Преданный лаппхунд сильно привязывается к своей семье."
Французский бракк пиренейского типа,Средние,Привязчивые / Умные / Тихие / Уравновешенные,"Требует минимального ухода за шерстью
Отличная собака для семьи
Требует большой физической активности","Французский бракк — уроженец южных Пиреней. Эта порода легко приспосабливается и потому прижилась у охотников из других частей Франции, а также за рубежом.
Французский бракк пиренейского типа в целом похож на французского бракка гасконского типа, только меньше и легче. Это выносливые, мускулистые, но не тяжеловесные собаки.
"
Французский бульдог,Средние,Привязчивые / Умные / Тихие / Уравновешенные,"Требует минимального ухода за шерстью
Отличная собака для семьи
Требует большой физической активности","Коренастые, с ярко выраженным характером, эти животные становятся отличными компаньонами. Их компактный размер и решительность завоевали сердца многих владельцев. Не обманывайтесь серьезным выражением их мордочки: обычно за ним кроется игривость. Французский бульдог легко приспосабливается и любит повеселиться. Их явное преимущество заключается в том, что практически все они легко ладят с детьми, а также с другими собаками и домашними питомцами."
Французский спаниель,Средние,Уверенные / Кроткие / Умные / Преданные / Жизнерадостный / Общительные,"Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке
Отличная спортивная собака","Уравновешенные, открытые, спокойные и послушные французские спаниели полны энтузиазма на охоте, общительны с другими собаками и в любых обстоятельствах представляют собой идеальных компаньонов.
Это выносливые собаки средних размеров, элегантные и мускулистые, с пропорциональным телосложением, источающие безграничную энергию. У них крепкий костяк, но при этом они не тяжеловесны"
Хальденская гончая,Средние,Привязчивые / Независимые / Уравновешенные / Жизнерадостный,"Требует минимального ухода за шерстью
Требует большой физической активности
Нуждается в опытном владельце","Хальденские гончие — это преданные собаки с кротким нравом. Эти качества, а также их способности к дрессировке и дружелюбный характер обусловили их популярность в качестве собак-компаньонов, с которыми легко поладить."
Ханаанская собака,Средние,Настороженные / Кроткие / Независимые / Умные / Преданные / Послушный / Тихие / Уравновешенные / Общительные,"Требуется груминг в умеренном объеме
Хорошо поддается дрессировке
Требует большой физической активности","Ханаанские собаки бдительны, отличаются очень быстрой реакцией и не доверяют незнакомым людям. Собаки этой породы сделают все, чтобы защитить владельца, но от природы они не склонны к агрессии. Кроме того, они необычайно преданы владельцу.
Ханаанские собаки морфологически и исторически связаны с бродячими или аборигенными собаками, такими как динго в Австралии и Юго-Восточной Азии."
"Харьер
",Средние,Живые / Послушный,"Не нуждается в интенсивной дрессировке
Требует большой физической активности
Требуется доступ к площадке на улице","У харьеров решительный характер, и эта уверенность, а также скорость и прекрасный нюх означают, что они могут быть очень увлеченными охотниками, которые используются на охоте на любые виды дичи, от зайца до лисы. Известно, что эти собаки охотились и на крупную дичь, например на кабанов и косуль на холмистой местности.
Дружелюбные и общительные, эти собаки разводятся для совместной охоты с другими собаками, поэтому они легко уживаются в домах с другими животными."
Хоккайдо,Средние,Жизнерадостный / Преданные / Спокойные / Настороженные / Уверенные / Умные,"Отличная сторожевая собака
Отличная собака для семьи
Не нуждается в интенсивной дрессировке","Надежные и величественные собаки породы хоккайдо преданны, спокойны и очень бдительны. Эти собаки — интеллектуальные мыслители, которые при правильной социализации становятся дружелюбными и уверенными в себе семейными компаньонами."
Хорватская овчарка,Средние,Привязчивые / Уверенные / Дружелюбные / Кроткие / Умные / Тихие / Общительные,"Требует минимального ухода за шерстью
Требуется интенсивная дрессировка
Требует большой физической активности","Хорватские овчарки обладают сильным инстинктом охраны стада, но также прекрасно подходят на роль сторожевых собак. Они живые, внимательные, неприхотливые и, по общему мнению, легко обучаемые.
Порода медленно, но верно распространилась из родного региона Славония на востоке Хорватии на всю страну, а затем и в различные иностранные государства. В настоящее время многие хорватские овчарки успешно выступают в спортивных дисциплинах для собак. Благодаря своим некрупным размерам они особенно хорошо проявляют себя в аджилити."
Хюгенхунд,Средние,Привязчивые / Послушный / Преданные,"Требует минимального ухода за шерстью
Дрессировку следует начинать в раннем возрасте
Требуется доступ к площадке на улице","Порода собак хюгенхунд не очень широко распространена, особенно за пределами Норвегии, где ее разводят для довольно специфических целей.
Хюгенхунды — это гончие средних размеров с плотным и компактным прямоугольным телосложением и крепкой спиной. Собаки этой породы впервые появились в XIX веке в результате скрещивания с несколькими разновидностями гончих, в том числе с немецкими. Тем не менее хюгенхунд — типично норвежская порода."
Шнауцер,Средние,Живые / Привязчивые / Игривые / Преданные / Настороженные / Тихие / Умные / Уверенные / Жизнерадостный / Трудолюбивые,"Требуется постоянный уход за шерстью
Отличная сторожевая собака
Отличная собака для семьи","Цвергшнауцер и ризеншнауцер произошли от миттельшнауцера. Их «старший брат» миттельшнауцер может иметь черный окрас или окрас перец с солью; эти собаки уравновешенны и энергичны.
Шнауцеры — энергичные собаки, которые преданы своим владельцам и ласковы с детьми. У них прекрасное чутье, и они очень бдительны, хотя лают мало."
"
Штирийская жесткошерстная гончая",Средние,Привязчивые / Кроткие / Независимые / Общительные,"Требуется груминг в умеренном объеме
Нуждается в опытном владельце
Дрессировку следует начинать в раннем возрасте","Штирийские жесткошерстные гончие — это собаки средних размеров с крепким телосложением и серьезным, но не агрессивным выражением.
Прежде всего, это полные энтузиазма твердые и решительные охотники, которые выслеживают дичь и отличаются громким голосом. Благодаря жесткой шерсти штирийские гончие могут работать в любых погодных условиях"
"
Энтлебухер зенненхунд",Средние,Настороженные / Живые / Уверенные / Кроткие / Преданные / Дружелюбные / Умные,"Отличная собака для семьи
Требуется доступ к площадке на улице
Требует минимального ухода за шерстью","Энтлебухер зенненхунды традиционно использовались для перегона и защиты скота, а также для охраны дома и прилегающей территории. Это универсальные рабочие и семейные собаки. Эти некрупные собаки обладают трехцветным окрасом, свойственным всем швейцарским горным и пастушьим собакам.
Представители этой породы очень подвижны и активны, а их открытость, живость и дружелюбие завоевали сердца многих.
"
Эрдельтерьер,Средние,Живые / Полные энтузиазма / Подвижный / Уверенные / Дружелюбные / Умные / Настороженные,"Требуется постоянный уход за шерстью
Требуется интенсивная дрессировка
Требуется доступ к площадке на улице","Эрдельтерьеры бдительные, крепкие, не проявляют агрессии, и их сложно напугать. Это активные и мускулистые собаки с проницательным взглядом и очень дружелюбным характером.
Известно, что эрдельтерьер — это одна из самых универсальных пород в мире, и собаки этой породы зарекомендовали себя как хорошие охотники, спортсмены и компаньоны. В некоторых странах их часто используют в качестве полицейских собак."
Чау чау,Средние,Живые / Тихие / Оберегающие / Независимые / Преданные / Сдержанные,"Требуется владелец с некоторым опытом
Отличная сторожевая собака
Требуется интенсивная дрессировка","Собаки этой породы отличаются спокойствием, хорошо подходят на роль сторожевых собак и обладают рядом уникальных особенностей, например внешностью, напоминающей льва, и уверенной походкой. Шерсть чау чау может быть двух типов: более длинной и жесткой либо более короткой и мягкой.
Чау чау имеют независимый характер, но при этом очень преданы своим владельцам. Они могут быть подозрительны к посторонним и проявлять сдержанность по отношению к новым людям."
Черногорская горная гончая,Средние,Спокойные / Кроткие / Преданные / Уравновешенные,"Требует минимального ухода за шерстью
Дружелюбное поведение при общении с детьми
Требуется доступ к площадке на улице","Черногорские горные гончие — уравновешенные собаки, которые сильно привязываются к своему владельцу. Из них получаются надежные собаки-компаньоны.
Родство черногорской гончей с другими балканскими гончими неоспоримо. В прошлом собак этой породы иногда называли черными гончими."
Чирнеко дель Этна,Средние,Решительные / Привязчивые / Кроткие / Преданные,"Хорошо поддается дрессировке
Требует минимального ухода за шерстью
Требует большой физической активности","Собаки этой породы примитивного типа отличаются элегантным и утонченным телосложением. Они средних размеров, не громоздкие, сильные и крепкие. У них легкий корпус квадратного формата и тонкая шерсть.
Это редкая порода, в основном встречающаяся у себя на родине. Стандарт породы был признан FCI в 1989 году."
Шапендоес,Средние,Привязчивые / Умеет за себя постоять / Настороженные / Уверенные / Дружелюбные / Умные / Преданные / Уравновешенные,"Отличная собака для семьи
Требуются умеренные физические нагрузки","Шапендоес — это собака, которая раньше использовалась для выпаса овец и до сих пор используется для этой цели. Поскольку пастбища для овец расположены в основном в тихих, уединенных районах страны, шапендоесы должны обладать большой выносливостью, подвижностью и скоростью."
Шар пей,Средние,Живые / Спокойные / Независимые / Преданные / Привязчивые,"Требуется груминг в умеренном объеме
Требуется умеренная дрессировка
Отличная сторожевая собака","Шар пей мгновенно привлекает внимание: множество складок на морде и теле, маленькие уши, и голова, напоминающая голову бегемота.
Шар пеи невероятно преданы своему владельцу и достаточно сдержанно относятся с посторонним. Они обладают природным инстинктом охранять свой дом и семью.
"
Шведский лаппхунд,Средние,Привязчивые / Настороженные / Уверенные / Дружелюбные / Кроткие / Умные / Общительные / Послушный,"Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке
Требует большой физической активности","Шведские лаппхунды — полные жизни, бдительные, добрые, ласковые и трудолюбивые собаки, всегда готовые выполнять команды владельца. Кроме того, они широко известны как любящие и преданные собаки-компаньоны, бережные по отношению к детям всех возрастов и, как правило, способные жить в домах, где есть другие домашние животные.
Эти универсальные собаки хорошо подходят для дрессировки по программам обидиенс и аджилити, могут выслеживать добычу, пасти скот и выполнять многие другие функции. Шведские лаппхунды быстро обучаются и способны к долгой работе."
Швейцарская гончая,Средние,Живые / Привязчивые / Дружелюбные / Кроткие / Преданные / Тихие / Чувствительные,"Требуется груминг в умеренном объеме
Терпеливое отношение к другим животным и детям
Требует большой физической активности","Швейцарские гончие — живые, полные энтузиазма охотники, которые неизменно кротки, послушны и искренне привязаны к своим владельцам. Это собаки средних размеров. Их сбалансированное сложение свидетельствует об их силе и выносливости. Вытянутая морда и четко очерченная голова с длинными ушами придают швейцарским гончим благородный вид.
Эти гончие охотятся на зайцев, косуль, лис и иногда на кабанов. Они работают самостоятельно, подавая голос, и проявляют большое мастерство даже в условиях холмистой местности."
Акита,Крупные,Уравновешенные / Преданные / Спокойные / Послушный,"Отличная сторожевая собака
Нуждается в опытном владельце
Требуется груминг в умеренном объеме","Это крупные сторожевые собаки с крепким телосложением. Они очень сильны и выносливы, поэтому отлично подходят для долгих прогулок и физических нагрузок. Акита отличается благородным и гордым внешним видом, благодаря которому собаки этой породы обрели популярность во всем мире.
За исключением белого, все окрасы имеют эффект «уражиро». Это означает, что боковые части морды, щеки, нижняя часть челюсти, шея, грудь, живот, нижняя сторона хвоста и внутренняя поверхность конечностей покрыты более светлой, беловатой шерстью."
"Американская акита
",Крупные,Уравновешенные / Дружелюбные / Настороженные / Послушный / Спокойные,"Отличная сторожевая собака
Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме","Дружелюбная, бдительная, отзывчивая, гордая, послушная и смелая — эти качества наиболее свойственны американским акитам. Эту мощную собаку-компаньона ценят за врожденные охранные инстинкты. Социализацию щенка рекомендуется начинать с самого раннего возраста. Она немного недоверчиво относится к незнакомым людям и любит доминировать в отношениях с другими собаками.

Это спокойные собаки, которые тем не менее любят все контролировать и излучают уверенность при любых обстоятельствах. Говорят, что их голова похожа на голову медведя, особенно белого, но это не единственное сходство между этими двумя видами животных."
"Английский пойнтер
",Крупные,Настороженные / Жизнерадостный / Атлетичные / Привязчивые / Уравновешенные,"Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке","Английские пойнтеры гармонично и сбалансированно сложены, это изящные, сильные и гибкие собаки. Это одна из первых пород, зарегистрированных FCI. Пойнтеры — прирожденные спортсмены, способные добиться успеха в самых разных областях.

Английские пойнтеры могут стоять как вкопанные, когда наблюдают за дичью, демонстрируя свой экстерьер и решительный настрой во всем великолепии. Это поистине прекрасное зрелище."
"Английский фоксхаунд
",Крупные,Уверенные / Дружелюбные / Кроткие / Независимые / Умные / Общительные / Жизнерадостный,"Требуется доступ к площадке на улице
Требует большой физической активности
Терпеливое отношение к другим животным и детям","Английские фоксхаунды — это мощные собаки с четким силуэтом и хорошо сбалансированной конституцией, которые являются типичными представителями крупных европейских гончих.

Эти собаки обладают энергией и выносливостью, которая позволяет им бегать часами. Они рождены для охоты, но дружелюбны и неагрессивны в быту."
Англо-французская трехцветная гончая большая,Крупные,Трудолюбивые / Жизнерадостный / Живые / Дружелюбные / Уверенные,"Требует минимального ухода за шерстью
Требуется доступ к площадке на улице
Требует большой физической активности","Во Франции больших англо-французских трехцветных гончих высоко ценят за превосходные скоростные качества в работе на пересеченной местности. Это собаки крепкого сложения, в чьих венах течет больше французских, чем английских кровей, однако они обладают и некоторыми признаками, доказывающими их происхождение от фоксхаундов.

Трехцветные гончие считаются самыми выносливыми из охотничьих гончих, работающих в стае. Благодаря силе, выносливости и настойчивости, полученным от английских предков, собаки этой породы пользуются большой популярностью у охотников. С момента официального признания в 1978 году эта порода заняла достойное место среди популярных охотничьих собак."
"Аргентинский дог
",Крупные,Подвижный / Кроткие / Дружелюбные / Тихие / Жизнерадостный / Уверенные / Привязчивые,"Требуется доступ к площадке на улице
Не нуждается в интенсивной дрессировке
Отличная собака для семьи","Аргентинские доги — компактные, мускулистые собаки с длинными конечностями. Это умные животные, обладающие быстрой реакцией, а также спокойной, но твердой и выразительной походкой.

Собаки этой породы преданные, ласковые, имеют характерный белый окрас. В целом эта порода наделена физическими способностями прирожденных спортсменов. У представителей породы, живущих в тропическом климате, тонкая редкая шерсть с пигментированными участками, а у собак, живущих в холодном климате, она гуще и плотнее, иногда с подшерстком."
"Афганская борзая
",Крупные,Атлетичные / Независимые / Умные / Преданные / Игривые,"Требуется постоянный уход за шерстью
Нуждается в опытном владельце
Требует большой физической активности","Врожденное изящество и пронзительный взгляд афганской борзой завоевали массу поклонников по всему миру. Изначально представителей этой породы разводили как охотничьих собак для гор и пустынь, поэтому афганские борзые обладают впечатляющей скоростью, выносливостью и ловкостью.

Сдержанная с посторонними, афганская борзая — это ласковый, преданный и игривый компаньон в семье. При этом известно, что афганские борзые отличаются относительно независимым нравом и плохо реагируют на строгие методы дрессировки. Лучше всего собаки этой породы подходят для опытных владельцев."
"Бассет хаунд
",Крупные,Уравновешенные / Общительные / Привязчивые,"Требуется груминг в умеренном объеме
Хорошо поддается дрессировке
Наличие сада не обязательно","Бассет хаунды — спокойные собаки, которые испытывают особую привязанность к близким людям и никогда не проявляют агрессию. Они имеют репутацию упрямых животных, но озорной характер помог им завоевать поклонников по всему миру.

Бассет хаунды — самые тяжелые и сильные из гончих пород и классифицируются как крупные собаки, несмотря на небольшой рост."
"Белая швейцарская овчарка
",Крупные,Настороженные / Дружелюбные / Умные / Общительные / Привязчивые / Послушный,"Отличная сторожевая собака
Требует минимального ухода за шерстью
Требует большой физической активности","Эти овчарки средних размеров обладают сильным и мускулистым вытянутым телом, стоячими ушами и густой средней или длинной шерстью с подшерстком. Белые швейцарские овчарки — это семейные собаки-компаньоны с кротким нравом, которые больше всего на свете обожают детей.

Это внимательные сторожевые и трудолюбивые рабочие собаки с большим количеством энергии. Белые швейцарские овчарки внимательны и бдительны, но обладают уравновешенным характером без признаков нервозности. Иногда эти собаки немного сдержанно относятся к посторонним, но тревожности они не испытывают."
